#		rand			min				max
100000	0.0000017641	0.0000007388	0.0000009640
200000	0.0000021902	0.0000007941	0.0000010759
300000	0.0000023523	0.0000007849	0.0000010808
400000	0.0000021817	0.0000007024	0.0000010608
500000	0.0000022407	0.0000007310	0.0000010548
600000	0.0000027988	0.0000008220	0.0000011816
700000	0.0000025201	0.0000007842	0.0000011019
800000	0.0000025419	0.0000007392	0.0000011101
900000	0.0000025380	0.0000007336	0.0000010993
1000000	0.0000025607	0.0000007075	0.0000010607
1100000	0.0000031273	0.0000008746	0.0000012894
1200000	0.0000027734	0.0000007646	0.0000011750
1300000	0.0000027829	0.0000007630	0.0000011462
1400000	0.0000027931	0.0000007378	0.0000011211
1500000	0.0000028064	0.0000007425	0.0000011237
1600000	0.0000027584	0.0000007286	0.0000010982
1700000	0.0000027904	0.0000007324	0.0000011149
1800000	0.0000028652	0.0000007094	0.0000010981
1900000	0.0000028023	0.0000007211	0.0000010820
2000000	0.0000028700	0.0000006994	0.0000010931
